"id","age","npeople","work","activity","bedrooms","gardensize"
1096,68,1,"unemployed/retired",40,1,10.5
491,25,2,"full time",85,2,9.5
782,32,4,"part time",95,2,8.5
864,46,2,"full time",50,4,10.5
339,36,3,"part time",90,4,16
1014,26,5,"part time",75,2,9
367,65,2,"unemployed/retired",55,2,13
838,75,1,"unemployed/retired",40,2,10.5
829,29,3,"full time",80,3,9
480,92,2,"full time",125,1,7.5
454,28,2,"full time",90,2,9
1065,26,2,"full time",85,2,8.5
786,25,2,"full time",NA,1,6.5
1063,42,2,"part time",85,4,22
608,59,3,"unemployed/retired",95,6,28.5
408,46,2,"full time",60,4,12
322,45,2,"full time",55,4,12
607,NA,2,"full time",70,1,9.5
147,43,2,"full time",55,4,15
585,75,1,"unemployed/retired",45,2,9
759,75,1,"unemployed/retired",45,2,10
1040,50,3,"unemployed/retired",130,5,31
316,27,NA,"full time",100,2,9
1051,81,1,"unemployed/retired",45,2,10.5
116,51,3,"part time",90,6,19.5
1028,51,3,"part time",100,5,21
879,72,2,"unemployed/retired",45,2,13
1082,26,2,"full time",95,2,10
206,45,3,"part time",85,4,23.5
757,38,4,"part time",NA,NA,8
73,62,2,"unemployed/retired",55,2,15.5
839,69,1,"unemployed/retired",45,2,NA
74,35,4,"full time",85,3,9
142,76,1,"unemployed/retired",55,3,9
895,55,3,"part time",95,NA,26.5
436,52,4,"unemployed/retired",70,5,25.5
1045,56,3,"unemployed/retired",70,6,15.5
176,46,2,"full time",55,4,14
956,27,2,"full time",80,3,11.5
591,72,2,"unemployed/retired",55,2,14
905,75,1,"unemployed/retired",50,2,14
753,82,2,"unemployed/retired",55,2,NA
602,74,1,"unemployed/retired",55,2,12
979,26,10,"full time",85,2,10
668,73,1,"unemployed/retired",40,2,8.5
387,32,4,"part time",55,3,10
917,75,1,"unemployed/retired",50,2,9.5
120,43,3,"part time",90,5,21.5
121,35,4,"part time",80,3,NA
518,83,2,"unemployed/retired",55,2,12.5
921,42,2,"full time",60,4,17.5
1039,31,4,"full time",60,3,9.5
1004,48,2,"part time",60,4,17
289,42,2,"part time",55,4,12
498,58,2,"unemployed/retired",45,2,12
546,31,4,"part time",80,3,9.5
696,NA,1,"unemployed/retired",25,3,10
1027,29,4,"full time",95,3,8.5
140,76,1,"unemployed/retired",40,2,9
938,44,2,"part time",50,4,11
458,57,NA,"unemployed/retired",60,2,9
764,59,2,"part time",70,5,17
406,43,2,"full time",70,4,14
80,47,2,"part time",55,4,10
639,34,4,"part time",65,3,10
915,27,2,"full time",95,2,8.5
131,26,2,"full time",120,2,7.5
993,33,4,"full time",80,2,9.5
238,71,1,"unemployed/retired",45,3,8.5
976,21,2,"full time",105,2,7.5
118,NA,2,"part time",75,4,18
684,33,4,"part time",65,3,8.5
375,74,1,"unemployed/retired",45,2,9
737,79,1,"unemployed/retired",55,2,12
123,24,2,"full time",100,1,8.5
512,48,3,"unemployed/retired",75,5,19.5
667,46,2,"full time",55,4,13.5
172,NA,1,"unemployed/retired",45,2,10.5
520,75,1,"unemployed/retired",50,2,8.5
887,75,1,"unemployed/retired",45,2,10
25,23,2,"full time",105,2,8.5
98,50,2,"part time",85,5,19.5
486,69,2,"unemployed/retired",55,2,10
204,62,3,"unemployed/retired",110,7,20
106,34,5,"part time",80,4,9
228,33,4,"part time",80,3,9.5
130,41,2,"full time",60,4,11
798,45,2,"part time",60,4,10
808,29,20,"full time",115,3,10.5
273,24,2,"full time",100,2,10
969,30,4,"full time",60,3,11
1098,44,2,"full time",60,4,16
768,23,2,"full time",100,2,NA
462,25,2,"full time",95,2,7.5
643,26,2,"full time",80,2,12
126,43,2,"part time",70,4,14.5
653,41,2,"unemployed/retired",90,4,14
93,77,1,"unemployed/retired",40,2,11.5
761,75,1,"unemployed/retired",55,2,8
412,37,3,"part time",90,6,20.5
308,22,2,"full time",110,2,11
465,NA,4,"full time",65,3,9.5
791,29,4,"part time",50,3,8.5
674,54,4,"part time",70,4,27
1010,25,2,"full time",85,2,9.5
1020,39,4,"full time",85,3,9.5
190,32,4,"full time",80,3,9.5
1094,55,3,"part time",105,5,25
704,74,1,"unemployed/retired",35,1,9.5
680,44,4,"unemployed/retired",100,4,21
97,34,4,"full time",95,3,9
569,77,1,"unemployed/retired",55,2,10.5
986,73,2,"unemployed/retired",60,3,13
1001,50,4,"part time",110,5,20.5
148,48,2,"full time",50,4,NA
970,70,1,"unemployed/retired",60,2,11
373,73,1,"unemployed/retired",40,2,NA
138,45,2,"part time",80,4,21
493,70,1,"unemployed/retired",40,2,9
259,74,1,"unemployed/retired",40,2,10.5
967,44,2,"full time",50,4,9
371,23,2,"full time",110,2,11.5
690,24,2,"full time",90,2,9.5
415,63,2,"unemployed/retired",40,3,12
252,46,2,"part time",NA,4,27
378,54,2,"unemployed/retired",50,3,11.5
186,74,2,"unemployed/retired",50,2,11.5
711,36,4,"full time",70,3,9
175,43,2,"part time",60,4,16
188,22,2,"full time",95,2,9
440,23,2,"full time",90,1,8.5
749,47,2,"part time",NA,4,14
736,23,2,"full time",85,2,11
722,75,2,"unemployed/retired",60,2,15.5
1088,79,2,"unemployed/retired",45,2,12.5
694,73,1,"unemployed/retired",45,2,11
807,37,4,"part time",80,NA,8
111,32,NA,"full time",70,3,9.5
547,31,4,"full time",45,3,7.5
1008,42,2,"part time",55,4,12
27,32,4,"part time",70,3,8.5
945,68,2,"part time",75,NA,21.5
96,44,2,"full time",65,3,14.5
182,32,4,"full time",50,3,9.5
920,31,4,"full time",70,3,10
65,75,1,"unemployed/retired",50,2,9
960,73,2,"unemployed/retired",50,3,14
158,27,2,"full time",45,2,10.5
515,80,1,"unemployed/retired",50,2,10.5
207,30,4,"part time",65,3,7.5
566,27,2,"full time",95,2,10.5
160,31,5,"full time",75,2,10
1034,51,3,"unemployed/retired",70,5,19.5
622,45,2,"full time",65,4,15.5
306,79,1,"unemployed/retired",NA,2,7.5
948,78,1,"unemployed/retired",4000,3,10.5
173,72,1,"unemployed/retired",40,2,11
752,23,2,"full time",8500,1,6.5
43,62,2,"unemployed/retired",40,2,11
726,45,2,"full time",40,3,14.5
994,25,2,"full time",75,2,10
614,41,2,"full time",75,3,13
823,33,5,"part time",100,3,9.5
244,37,4,"part time",90,4,11
474,70,1,"unemployed/retired",45,1,10
858,79,10,"unemployed/retired",55,3,13.5
157,101,3,"full time",65,3,7
325,78,2,"unemployed/retired",40,3,12.5
423,46,2,"part time",60,5,14.5
729,66,1,"unemployed/retired",50,2,10
663,52,3,"part time",65,3,28.5
242,78,1,"unemployed/retired",35,2,7.5
1076,85,2,"unemployed/retired",45,2,14.5
705,71,2,"unemployed/retired",55,2,14
1067,36,5,"full time",60,4,10.5
299,76,1,"unemployed/retired",45,3,7.5
287,31,4,"part time",9000,2,8.5
16,75,1,"unemployed/retired",NA,2,10
133,64,2,"unemployed/retired",55,2,12
912,44,2,"full time",55,4,14
987,48,3,"part time",90,4,25
659,52,2,"part time",100,6,23
778,27,2,"full time",60,2,10
224,43,2,"part time",65,4,13.5
213,37,4,"part time",75,3,8.5
490,43,3,"part time",110,4,20.5
702,46,2,"full time",60,4,19.5
647,65,2,"unemployed/retired",40,3,11
449,27,2,"full time",90,2,8
822,37,3,"full time",95,3,9.5
980,36,4,"full time",70,2,9
750,49,2,"part time",70,4,15.5
243,36,4,"full time",85,3,10
824,25,2,"full time",90,2,10
961,30,2,"full time",115,3,11.5
45,45,2,"full time",75,4,17.5
41,45,3,"part time",85,4,24
105,44,2,"full time",60,4,13
596,45,NA,"full time",75,4,17
356,49,2,"part time",90,4,19
720,33,5,"part time",60,3,8
865,45,2,"part time",65,4,13.5
765,47,2,"part time",55,5,16.5
102,24,2,"full time",70,2,10.5
314,24,2,"full time",70,3,6.5
721,46,2,"part time",70,4,16
31,81,1,"unemployed/retired",40,3,11
589,42,2,"full time",55,4,11
201,49,2,"part time",45,4,15
754,22,2,"full time",NA,1,8
38,78,1,"unemployed/retired",60,3,11.5
263,24,10,"full time",90,3,8.5
90,34,NA,"full time",60,3,8
464,30,4,"full time",95,3,9.5
448,25,2,"full time",85,2,6.5
587,37,4,"part time",NA,3,10
268,51,3,"part time",85,4,22
14,53,3,"part time",85,6,23
307,NA,1,"unemployed/retired",35,2,10
900,45,2,"part time",65,4,16
94,43,2,"full time",65,4,11
526,45,3,"part time",115,5,21
997,35,4,"part time",80,3,9.5
1055,42,3,"part time",85,5,21.5
44,36,4,"part time",85,3,10.5
100,65,2,"unemployed/retired",55,2,12
324,101,4,"full time",70,3,9
166,76,1,"unemployed/retired",50,2,8.5
973,44,3,"part time",80,4,19.5
953,73,1,"unemployed/retired",45,2,9
507,25,2,"full time",70,2,8.5
869,NA,4,"full time",65,3,NA
85,NA,2,"full time",95,2,7.5
989,42,2,"part time",50,4,18
930,44,2,"full time",65,5,15
82,79,2,"unemployed/retired",60,2,16
277,30,2,"full time",80,3,9
457,82,1,"unemployed/retired",40,2,11.5
703,27,2,"full time",125,NA,8.5
7,24,2,"full time",65,2,7
326,30,4,"full time",85,3,8.5
724,70,1,"unemployed/retired",50,2,10.5
141,42,10,"part time",60,4,14.5
450,55,3,"unemployed/retired",100,5,22
354,76,2,"unemployed/retired",50,3,15
135,69,2,"unemployed/retired",45,3,12
1074,77,1,"unemployed/retired",25,2,7
815,47,2,"full time",60,3,NA
134,34,5,"part time",80,3,9.5
24,33,4,"part time",60,4,9
728,33,4,"full time",80,3,9.5
1023,NA,4,"part time",60,5,20
218,82,1,"unemployed/retired",45,2,9
654,25,2,"full time",70,2,7.5
699,50,2,"full time",55,4,14
595,75,1,"unemployed/retired",50,2,12
544,57,3,"unemployed/retired",100,4,19.5
554,49,3,"part time",NA,4,21
439,73,2,"unemployed/retired",40,3,13.5
804,105,4,"part time",65,3,9
295,42,2,"full time",45,4,12.5
932,24,2,"full time",115,2,10
478,69,1,"unemployed/retired",45,2,9
211,25,10,"full time",115,2,9
1011,75,1,"unemployed/retired",45,2,9.5
787,49,2,"part time",60,4,13.5
748,74,NA,"unemployed/retired",40,3,13
1077,45,2,"full time",50,3,14.5
495,36,4,"full time",55,4,8
545,35,4,"part time",70,4,9
1079,74,2,"unemployed/retired",70,2,14
358,45,2,"full time",55,3,12.5
