"id","size","vocal","walktime","shed","strength","drool","affection","intelligence","social","age","percentgooddog"
540,49,62,35,67,55,3.8,46,30,88,13,150
541,86,50,65,73,81,4.1,58,56,46,8,150
542,36,68,50,50,45,2.1,45,33,92,13,150
543,73,39,20,22,46,2.1,78,44,51,14,150
544,83,NA,50,65,83,3.7,60,48,52,9,150
545,64,21,35,20,44,1,81,50,79,6,150
546,69,32,20,8,51,1.8,84,54,40,NA,150
547,43,11,65,48,74,1.1,68,72,68,11,150
548,67,15,40,15,NA,1.1,86,44,79,11,150
549,86,23,20,18,54,2.1,79,52,46,14,150
550,33,69,40,57,48,2.9,40,13,77,13,150
551,NA,11,90,61,69,1,62,87,85,5,150
552,51,NA,40,11,52,0.9,79,40,87,8,150
553,92,52,60,75,87,3.7,54,54,51,7,150
554,58,21,40,20,57,0.9,74,47,78,4,150
555,70,39,20,14,55,1.9,81,51,46,13,150
556,54,7,100,60,76,1.1,40,81,75,4,150
557,95,25,20,14,57,1.9,82,50,54,14,150
558,53,5,70,38,82,0.8,65,83,83,7,150
559,71,25,200,13,40,1.7,77,48,37,13,150
560,62,14,30,19,54,1.1,82,53,78,10,150
561,25,73,15,62,18,0.6,20,16,21,14,150
562,41,9,650,50,67,1,55,73,75,NA,150
563,62,10,95,57,74,0.9,47,81,84,5,150
564,33,82,20,80,21,0.5,24,27,26,8,150
565,30,70,25,48,44,3.5,48,37,74,17,150
566,42,77,35,52,48,3.1,40,29,76,13,150
567,79,32,25,16,55,2,75,53,53,13,150
568,85,28,20,22,56,1.8,80,65,57,11,150
569,65,21,40,17,39,1,81,51,89,11,150
570,35,57,30,46,61,3,56,23,76,14,150
571,51,43,20,6,43,1.8,92,50,51,NA,150
572,54,31,200,13,46,1.5,81,40,46,14,150
573,68,55,55,71,78,3.6,54,49,46,NA,150
574,75,20,15,15,50,2.2,75,43,41,14,150
575,107,576,75,97,94,4.8,62,60,57,7,150
576,59,18,40,14,50,1,82,45,85,9,150
577,47,10,80,54,93,0.9,55,76,74,5,150
578,66,NA,20,11,46,NA,NA,45,41,15,150
579,86,41,50,72,97,3.9,59,52,52,9,150
580,24,79,20,58,16,0.5,25,15,18,9,150
581,50,13,85,44,75,0.8,59,77,77,6,150
582,41,9,70,44,76,1,NA,76,80,3,150
583,90,29,20,25,NA,1.6,77,49,51,12,150
584,66,22,20,3,43,2.2,83,54,53,14,150
585,105,53,65,79,75,3.4,60,51,51,9,150
586,NA,26,40,20,53,1.1,82,61,89,8,150
587,51,22,40,15,48,0.9,84,42,85,5,150
588,61,30,200,14,54,1.9,77,38,38,13,150
589,26,73,20,52,22,0.5,14,18,18,9,150
590,62,4,85,47,79,1,67,87,87,9,150
591,84,54,55,84,86,4.6,51,40,48,10,150
592,42,86,40,48,55,3.1,51,41,87,12,150
593,42,23,25,9,46,1,85,46,72,13,150
594,NA,88,20,68,14,0.5,21,18,NA,NA,150
595,60,25,15,14,44,1.7,81,43,43,15,150
596,95,49,65,77,93,3.7,61,49,48,10,150
597,72,37,20,15,46,2.4,76,52,53,13,150
598,81,27,20,18,47,1.7,83,52,52,12,150
599,34,79,20,71,21,0.5,20,21,20,13,150
600,71,63,50,79,73,3.3,72,49,33,12,150
601,46,6,75,54,78,1.1,68,76,74,7,150
602,42,62,35,52,45,2.9,45,36,84,14,150
603,45,13,75,35,80,1,72,91,77,8,150
604,55,6,85,46,72,1.1,48,70,81,7,150
605,43,3,75,44,69,1.2,70,81,75,8,150
606,70,36,20,13,48,2.4,73,40,44,13,150
607,101,53,70,84,NA,4.5,61,51,49,9,150
608,NA,49,75,80,92,4.9,63,56,55,9,150
609,82,45,50,81,88,4.3,60,41,42,9,150
610,95,600,60,79,74,3.9,59,46,45,10,150
611,103,41,55,85,85,4.4,46,55,51,9,150
612,40,20,45,11,48,1,80,42,68,10,150
613,41,9,70,52,69,1,67,80,78,9,150
614,40,11,85,58,70,0.9,64,82,80,4,150
615,44,81,30,51,55,3.6,44,35,84,14,150
616,83,28,20,15,64,2.3,81,56,47,13,150
617,44,65,30,56,56,3.1,39,29,82,13,150
618,48,67,500,53,38,3.5,44,30,82,13,150
619,59,26,15,11,52,1.8,84,49,55,15,150
620,88,50,60,82,75,3.8,54,42,42,8,150
621,37,14,75,44,67,1,133,77,77,6,150
622,70,26,15,6,50,1.9,79,39,47,13,150
623,27,81,20,63,18,0.4,24,17,19,7,150
624,43,22,40,17,47,1.1,84,53,75,11,150
625,29,80,20,68,26,0.5,15,9,23,9,150
626,93,50,50,84,85,4.5,46,39,55,10,150
627,46,19,35,14,53,0.9,85,51,90,4,150
628,54,3,75,42,91,1,67,81,80,8,150
629,530,25,40,12,38,1.1,86,49,77,12,150
630,46,5,95,50,81,1,49,80,75,6,150
631,88,51,50,72,76,4.4,58,43,43,10,150
632,47,67,50,64,55,2.9,56,41,86,15,150
633,46,65,50,49,51,3.5,44,34,77,15,150
634,29,75,20,68,28,0.6,21,19,20,7,150
635,41,57,40,51,57,3.1,54,32,NA,15,150
636,78,22,20,16,62,1.8,79,53,43,13,150
637,101,43,65,85,90,3.6,56,47,52,10,150
638,32,12,90,44,67,1,NA,69,70,7,150
639,75,21,20,16,53,2.4,79,60,43,15,150
640,38,10,75,59,62,1.1,50,77,78,7,150
641,NA,26,45,8,50,0.9,79,51,68,11,150
642,66,14,400,12,77,1.2,79,51,83,12,150
643,100,32,25,12,61,2.5,77,61,56,12,150
644,88,48,50,88,76,4.3,65,45,49,9,150
645,44,10,75,45,74,1.1,73,91,86,9,150
646,68,20,15,12,42,1.9,86,46,50,15,150
647,91,60,70,69,85,3.2,61,58,56,5,150
648,58,20,30,12,49,1,83,51,90,13,150
649,96,52,65,62,67,4,67,52,55,11,150
650,88,61,50,86,86,3.2,53,51,52,7,150
651,94,41,50,77,87,4.5,NA,52,50,11,150
652,90,52,70,76,69,3.8,72,53,51,9,150
653,64,41,20,9,52,1.9,84,56,53,13,150
654,45,120,55,57,59,1.2,NA,77,75,13,150
655,35,61,45,52,38,3.5,41,31,79,15,150
656,72,56,65,76,74,3.6,67,63,53,9,150
657,81,18,20,15,49,1.7,76,36,38,13,150
658,31,77,20,71,22,0.6,23,19,21,10,150
659,64,37,15,17,57,2.2,76,33,48,12,150
660,74,54,60,76,75,4.6,60,61,52,9,150
661,58,11,95,55,82,1,77,88,90,6,150
662,79,47,60,87,78,2.9,51,48,41,9,150
663,27,85,20,73,15,0.5,22,16,NA,11,150
664,102,42,75,86,80,3.9,72,66,51,9,150
665,53,22,45,11,47,1,75,42,84,10,150
666,72,33,20,16,45,1.6,85,52,50,14,150
667,52,NA,30,9,58,0.9,78,39,83,7,150
668,105,52,75,81,91,3.8,52,61,58,6,150
669,27,81,20,NA,29,0.5,NA,18,20,7,150
670,74,NA,20,9,400,1.9,81,51,48,14,150
671,76,38,20,12,45,1.9,80,47,39,15,150
672,80,31,20,11,48,1.8,81,50,63,13,150
673,33,996,25,65,16,0.6,20,20,19,8,150
674,85,60,600,79,66,3.7,62,47,42,9,150
675,79,39,20,8,50,1.4,77,58,49,12,150
676,82,41,40,86,81,3.2,60,49,46,10,150
677,31,77,20,76,22,0.6,22,22,17,9,150
678,41,75,50,45,50,3.1,38,34,85,14,150
679,58,7,80,51,648,0.9,58,82,86,6,150
680,87,61,50,88,72,4.4,56,37,59,6,150
681,60,9,95,NA,88,0.9,57,82,83,3,150
682,66,23,35,16,63,1.1,NA,45,82,4,150
683,69,19,30,17,41,1.2,84,41,82,13,150
684,79,36,20,13,44,2.2,74,47,52,15,150
685,35,13,85,54,68,1,52,81,82,5,150
686,61,31,20,15,42,1.6,80,55,58,14,150
687,34,68,20,66,28,0.4,NA,16,19,5,150
688,40,10,85,54,69,0.9,64,83,84,9,150
689,75,41,20,23,50,2.1,76,54,44,13,150
690,55,12,95,55,79,0.9,67,87,79,4,150
691,24,79,20,66,19,0.5,19,11,19,9,150
692,76,35,20,10,43,2.4,81,50,56,13,150
693,59,28,20,15,51,2,77,51,44,14,150
694,75,37,NA,16,38,2.5,85,60,52,15,150
695,52,7,80,54,86,1,56,81,88,7,150
696,63,19,NA,17,45,1,78,38,84,5,150
697,1080,46,65,74,87,4.8,75,67,61,10,150
698,95,58,55,75,86,2.8,59,46,57,8,150
699,85,56,45,72,91,3.2,57,48,60,6,150
700,33,8,75,50,71,0.9,68,83,73,7,150
701,62,5,90,47,78,1,59,78,83,7,150
702,28,75,20,66,17,0.5,22,16,20,9,150
703,108,41,60,65,85,4.1,55,47,53,9,150
704,81,26,20,17,56,1.9,82,44,43,NA,150
705,89,58,60,71,80,4.6,66,55,69,8,150
706,76,34,20,20,48,2.1,77,50,58,12,150
707,23,85,20,71,24,0.6,25,28,21,8,150
708,52,15,95,41,76,1.1,61,85,85,4,150
709,88,25,20,21,62,1.7,80,55,60,13,150
710,73,29,20,16,50,2.5,83,52,49,16,150
711,71,30,20,15,51,2,83,56,61,12,150
712,69,22,50,20,59,1,78,50,86,5,150
713,40,10,80,49,72,0.8,71,80,77,4,150
714,73,16,40,14,50,1.2,79,52,77,8,150
715,50,18,45,21,55,0.9,76,46,76,5,150
716,76,28,20,17,59,1.9,72,45,48,14,150
717,37,18,35,14,44,0.9,78,38,77,9,150
718,78,28,20,17,59,2.3,79,52,58,13,150
719,29,66,35,45,57,3.1,34,17,77,13,150
720,44,56,50,60,58,3.1,48,29,84,13,150
721,36,15,85,47,60,1,64,NA,80,9,150
722,73,33,20,19,48,1.9,NA,53,54,13,150
723,84,25,20,15,44,2.2,78,46,53,14,150
724,68,33,20,NA,43,1.8,79,49,63,11,150
725,83,52,45,84,76,4,59,50,49,11,150
726,30,80,15,78,16,0.5,21,16,17,15,150
727,51,21,NA,10,39,1,83,47,74,9,150
728,57,30,35,11,41,1,83,52,80,10,150
729,56,33,20,12,33,1.8,80,51,58,14,150
730,60,29,15,6,44,2,82,56,47,15,150
731,88,25,20,13,38,1.7,73,43,40,15,150
732,49,18,30,14,59,0.9,78,48,73,7,150
733,260,84,20,70,14,0.4,19,20,23,7,150
734,20,92,15,54,17,0.5,NA,23,20,5,150
735,34,78,20,74,14,0.5,25,23,21,13,150
736,69,30,20,22,44,2.1,86,55,46,15,150
737,32,81,20,76,16,0.5,27,25,25,14,150
738,54,8,65,52,76,1,68,81,77,5,150
739,48,21,35,9,48,1.1,82,56,72,12,150
740,40,22,30,13,55,1,76,48,64,7,150
741,43,11,90,43,77,0.8,64,83,83,5,150
742,42,16,90,NA,71,1,67,79,85,6,150
743,102,30,50,95,89,4.5,50,44,40,8,150
744,89,25,20,17,60,2.1,79,54,57,13,150
745,36,67,40,45,376,3.5,44,26,80,12,150
746,93,48,45,84,83,4.4,47,33,49,7,150
747,68,32,20,21,NA,2.1,82,57,47,13,150
748,69,22,45,13,58,0.8,75,42,88,9,150
749,47,9,65,53,81,1,56,78,79,6,150
750,32,10,80,61,77,0.8,53,81,79,5,150
751,46,7,60,52,81,1,52,64,80,3,150
752,82,46,70,80,65,3.6,NA,55,42,10,150
753,75,37,20,16,50,1.9,86,50,63,13,150
754,40,6,105,52,78,0.9,58,79,78,5,150
755,49,11,70,51,72,1.1,61,82,70,8,150
756,94,55,45,75,84,3.9,44,43,46,8,150
757,29,85,20,68,20,0.5,13,21,32,4,150
758,25,83,20,57,20,0.5,25,22,14,10,150
759,72,18,20,10,52,2,73,50,61,13,150
760,78,17,45,23,47,1.1,76,50,81,9,150
761,104,51,80,95,80,4.1,67,59,65,7,150
762,47,10,80,47,79,1,NA,76,74,4,150
763,330,12,75,59,68,0.9,52,77,82,7,150
764,66,13,40,16,61,1,85,54,85,11,150
765,61,22,200,13,53,1.7,78,49,49,12,150
766,69,396,20,8,57,1.7,82,38,58,11,150
767,98,54,50,73,89,3.9,60,40,46,11,150
768,62,18,35,11,48,1,78,54,77,15,150
769,41,NA,25,84,25,0.5,19,26,29,8,150
770,51,38,15,8,37,2.1,82,50,43,15,150
771,52,10,800,61,77,0.8,51,78,80,1,150
772,77,48,65,70,75,3.9,52,42,NA,7,150
773,41,23,30,12,48,1,78,40,63,12,150
774,29,86,20,59,26,0.5,23,30,26,8,150
775,86,53,65,79,79,5.3,60,44,52,10,150
776,79,33,20,15,51,1.6,89,54,55,14,150
777,91,54,75,79,83,4.4,62,NA,44,10,150
778,105,45,65,74,82,3.8,67,44,43,6,150
779,80,48,50,78,85,3.7,NA,53,54,10,150
780,85,44,45,NA,86,3.5,64,46,55,11,150
781,91,63,75,82,87,2.9,60,60,48,NA,150
782,35,70,45,45,51,2.2,33,33,76,12,150
783,58,22,25,24,39,1.1,75,49,82,10,150
784,35,80,45,39,58,2.7,39,41,84,13,150
785,63,24,50,11,54,1,82,57,76,9,150
786,54,12,70,53,79,1.1,47,78,80,6,150
787,71,25,20,16,53,1.3,88,52,45,13,150
788,99,48,60,88,79,4.3,72,49,52,12,150
789,31,77,20,71,15,0.5,13,21,17,7,150
790,37,75,20,72,25,0.5,21,14,19,8,150
791,32,82,25,72,21,0.5,25,27,19,7,150
792,64,168,40,12,61,1.1,76,45,80,3,150
793,53,24,45,12,52,1,78,54,87,9,150
794,52,7,90,39,76,1.1,55,83,84,6,150
795,82,45,60,74,92,4.5,65,55,52,10,150
796,44,10,85,51,75,0.9,62,86,95,5,150
797,59,34,20,17,52,1.8,79,55,45,12,150
798,108,34,70,94,85,4.2,57,61,45,11,150
799,66,26,20,14,55,1.5,79,39,47,14,150
800,58,17,45,NA,59,1,84,44,77,7,150
801,58,22,40,15,59,0.8,86,50,85,8,150
802,78,37,20,15,57,2.3,83,60,55,14,150
803,68,16,45,13,61,1.1,81,59,91,6,150
804,66,10,40,16,58,0.9,81,50,87,10,150
805,79,17,20,17,54,1.3,81,47,47,13,150
806,73,36,25,9,NA,2.4,84,63,NA,14,150
807,55,18,30,16,51,0.9,78,42,71,8,150
808,73,26,45,20,46,1,91,67,95,13,150
809,84,58,70,78,84,2.4,56,46,51,7,150
810,60,23,35,11,47,1,80,40,83,10,150
811,47,11,85,53,82,1,63,87,81,5,150
812,44,74,40,55,47,2.7,37,27,75,13,150
813,81,53,60,75,76,3.9,55,48,40,11,150
814,88,55,60,88,68,4,66,59,49,8,150
815,87,43,50,78,80,4.3,58,46,36,10,150
816,80,59,50,91,72,5.3,70,48,45,10,150
817,30,84,20,82,16,0.6,19,23,21,13,150
818,77,40,25,16,57,1.7,80,49,55,11,150
819,NA,396,25,9,49,2,84,68,51,15,150
820,55,37,20,12,40,2,72,50,NA,13,150
821,95,54,55,76,90,3.8,65,50,49,8,150
822,58,7,90,59,79,1,50,84,82,4,150
823,82,60,70,79,81,3.2,59,50,52,8,150
824,79,42,25,15,57,1.7,71,56,63,11,150
825,48,7,70,49,74,1,60,78,73,3,150
826,63,19,45,30,49,1.1,79,52,80,12,150
827,29,7,70,43,70,0.9,62,70,72,5,150
828,103,45,70,86,83,4.2,62,51,63,8,150
829,73,15,40,23,46,1.2,84,51,88,10,150
830,84,27,20,8,50,2.3,77,36,54,14,150
831,43,10,75,58,68,1.1,72,76,71,10,150
832,70,40,20,7,45,2,NA,50,52,13,150
833,63,51,35,72,70,NA,54,36,40,12,150
834,72,29,20,14,53,2,78,43,52,15,150
835,46,25,25,12,41,0.9,78,44,77,11,150
836,63,7,400,16,41,1.1,81,40,75,14,150
837,22,82,20,75,22,0.5,85,8,14,7,150
838,99,60,600,83,62,NA,61,59,47,14,150
839,31,84,20,72,18,0.5,20,19,21,11,150
840,66,40,20,13,50,2.2,86,65,52,13,150
841,51,11,85,42,77,0.9,65,81,82,2,150
842,84,NA,45,68,90,4.1,NA,44,39,10,150
843,44,83,45,44,44,3,40,49,91,13,150
844,69,19,20,12,47,2.2,79,51,49,14,150
845,68,25,20,14,54,1.4,NA,37,48,11,150
846,111,NA,60,89,89,3.7,67,53,55,8,150
847,48,12,80,46,74,1.1,58,84,87,3,150
848,92,54,80,80,81,4.4,74,64,70,12,150
849,83,43,NA,72,81,4,60,36,40,11,150
850,81,26,20,15,53,1.9,82,54,52,13,150
851,33,79,20,78,23,0.6,23,19,21,10,150
852,58,5,75,66,81,0.9,72,82,81,8,150
853,27,65,350,52,50,2.4,38,38,77,13,150
854,67,7,85,63,95,1.2,64,87,NA,5,150
855,42,21,35,9,57,0.8,77,42,75,5,150
856,55,6,75,41,76,1,61,NA,80,7,150
857,56,21,30,20,46,1.1,76,44,89,7,150
858,51,4,900,48,80,0.9,60,82,82,6,150
859,92,49,65,91,82,4.4,61,50,54,9,150
860,104,32,70,80,78,4.6,72,44,38,13,150
861,59,22,40,17,63,0.8,77,46,92,2,150
862,42,72,45,54,58,3.4,53,39,78,14,150
863,28,85,20,74,21,0.5,19,25,19,10,150
864,NA,12,70,41,72,1,53,75,71,6,150
865,73,42,20,12,48,2.6,82,48,51,13,150
866,67,36,20,11,46,1.5,81,45,43,13,150
867,25,89,20,75,16,0.6,20,25,22,9,150
868,78,35,15,17,54,2,77,48,51,13,150
869,105,13,20,18,53,2,76,40,49,15,150
870,64,18,40,22,47,1,78,51,84,10,150
871,57,8,80,57,78,1.1,69,80,81,7,150
872,86,61,70,86,88,3.6,63,51,45,4,150
873,38,69,40,53,39,3.4,32,20,84,14,150
874,71,30,25,11,65,1.6,76,63,58,13,150
875,52,15,40,13,60,1.1,77,47,80,13,150
876,71,33,20,16,48,1.7,NA,51,53,12,150
877,36,12,85,45,59,1,73,80,74,8,150
878,31,83,20,71,19,0.5,20,20,21,13,150
879,85,22,20,19,49,2.2,87,NA,42,14,150
880,41,29,400,10,52,0.8,74,54,75,4,150
881,29,79,20,61,22,0.5,14,16,26,4,150
882,72,31,20,8,38,1.7,80,52,50,13,150
883,47,24,40,16,51,0.8,83,43,70,11,150
884,56,56,40,47,61,3.3,44,30,92,13,150
885,71,10,35,22,69,1,76,40,79,11,150
886,22,79,20,61,25,0.5,13,15,21,4,150
887,36,75,20,74,18,0.5,21,19,16,11,150
888,33,79,20,79,18,0.5,22,25,20,11,150
889,33,81,200,70,19,0.5,23,27,20,11,150
890,51,9,80,50,77,0.9,55,80,77,5,150
891,104,38,55,86,98,4.2,64,60,51,9,150
892,55,35,20,15,54,1.8,80,44,39,14,150
893,56,20,50,17,49,0.9,83,57,77,7,150
894,59,26,40,17,46,1.1,80,60,81,10,150
895,90,53,60,69,87,3.2,47,48,57,6,150
896,76,22,20,17,392,1.4,71,40,49,13,150
897,71,58,50,82,65,3.2,138,59,63,8,150
898,42,19,50,14,53,1.1,82,46,79,5,150
899,43,77,40,50,44,2.8,42,35,69,13,150
900,76,36,20,17,39,1.5,80,51,58,14,150
901,26,NA,20,64,23,0.5,22,19,18,10,150
902,56,20,45,16,46,1,85,57,NA,10,150
903,56,19,50,20,57,1.2,82,59,79,10,150
904,66,35,20,13,56,1.2,79,53,45,12,150
905,31,74,40,53,46,1.7,38,35,94,12,150
906,62,22,40,19,56,0.9,90,61,86,10,150
907,78,27,20,8,59,1.9,76,50,45,13,150
908,63,20,45,26,53,1,80,61,92,11,150
909,79,28,20,18,52,2.2,83,46,51,13,150
910,45,84,200,79,21,0.5,18,25,26,9,150
911,61,27,30,NA,34,NA,78,45,79,9,150
912,53,8,85,55,84,NA,67,83,84,7,150
913,60,46,20,NA,43,2,78,47,52,14,150
914,50,11,90,53,73,1.1,54,83,90,0,150
915,81,NA,20,22,47,2.2,82,49,57,12,150
916,26,15,85,45,78,1,62,83,69,5,150
917,82,34,20,21,35,2.5,161,52,51,15,150
918,66,25,20,9,59,2.3,77,29,37,14,150
919,93,47,70,84,85,3.4,51,45,47,7,150
920,79,28,20,18,45,1.7,87,49,NA,15,150
921,76,NA,20,16,60,1.6,85,56,53,13,150
922,96,52,60,82,77,3.9,60,53,48,12,150
923,74,24,20,14,56,1.7,82,46,51,13,150
924,78,28,20,24,46,2.3,88,49,54,14,150
925,52,20,35,13,51,1.1,76,40,69,10,150
926,36,71,30,56,48,2.4,38,32,78,15,150
927,44,11,80,48,76,1,57,79,66,6,150
928,105,51,60,68,89,4.8,60,46,60,6,150
929,34,71,35,54,38,2.9,28,31,79,13,150
930,97,48,65,77,89,3.5,56,58,50,7,150
931,87,48,50,80,82,3.6,NA,52,45,12,150
932,48,10,80,54,86,0.9,60,85,86,4,150
933,42,72,80,55,70,0.9,51,68,80,4,150
934,49,7,80,60,88,1,50,75,79,3,150
935,52,20,50,13,54,0.8,76,48,85,3,150
936,37,9,70,57,76,1.1,70,75,75,8,150
937,81,40,20,19,47,2.5,75,52,55,13,150
938,21,80,200,68,12,0.5,13,12,16,11,150
939,71,33,25,20,496,1.6,75,59,56,12,150
940,82,35,15,19,46,2.6,79,50,56,15,150
941,49,12,85,45,70,1,52,85,89,7,150
942,41,13,75,61,76,1.1,69,82,85,7,150
943,119,17,25,18,61,2.4,89,59,58,14,150
944,77,63,40,92,79,3.2,59,41,42,11,150
945,64,22,45,16,52,1,81,65,90,11,150
946,33,73,45,48,54,2.4,36,26,81,12,150
947,42,8,70,47,81,1,67,81,80,8,150
948,53,10,95,65,80,1,61,82,87,3,150
949,45,13,80,50,79,1.2,55,75,76,5,150
950,39,79,20,68,20,0.6,17,29,23,10,150
951,79,16,20,12,49,1.6,86,52,52,15,150
952,91,35,25,19,40,1.4,151,66,68,12,150
953,52,13,95,58,75,0.9,62,79,79,4,150
954,75,35,15,13,55,1.6,81,46,57,14,150
955,60,32,20,4,51,2.2,82,53,42,14,150
956,32,13,80,38,NA,1,64,80,82,5,150
957,77,34,20,16,53,2.3,82,43,48,14,150
958,22,66,35,43,45,3.5,54,31,76,15,150
959,42,63,50,56,47,3.5,37,30,88,13,150
960,77,30,20,17,50,2.3,79,57,52,13,150
961,34,83,45,NA,44,3.1,35,44,79,14,150
962,28,82,25,66,16,0.5,22,22,20,9,150
963,92,55,70,83,75,4.1,69,47,53,10,150
964,76,19,20,15,39,1.9,77,51,51,15,150
965,90,50,50,81,63,4.4,61,51,43,NA,150
966,29,76,25,42,53,2.7,39,28,73,14,150
967,39,68,40,34,53,2.4,36,21,82,12,150
968,77,34,20,13,53,2.2,77,58,47,13,150
969,80,27,20,16,53,2.2,83,51,57,14,150
970,67,32,20,10,48,2.4,78,45,53,13,150
971,25,83,15,60,16,0.5,18,19,20,10,150
972,65,19,40,19,49,1,84,55,75,9,150
973,34,81,200,71,21,0.6,22,31,20,9,150
974,31,85,25,75,19,0.4,20,28,25,7,150
975,65,18,40,18,51,1,80,49,83,8,150
976,33,70,40,64,39,3.7,55,38,74,14,150
977,54,9,95,49,77,1,70,90,89,7,150
978,80,37,20,20,53,1.8,84,50,53,13,150
979,27,83,20,78,27,0.5,14,21,19,11,150
980,92,32,20,12,51,2.3,76,51,44,13,150
981,35,70,45,45,36,3.6,37,20,78,14,150
982,58,27,50,14,50,1,77,52,85,2,150
983,82,16,20,11,NA,1.9,82,36,36,16,150
984,73,27,20,17,50,1.6,83,47,59,13,150
985,76,34,20,14,47,1.9,80,44,46,13,150
986,55,NA,70,63,81,1.1,75,86,85,7,150
987,42,24,35,12,45,0.9,77,45,82,10,150
988,46,67,35,32,52,4.1,50,24,79,14,150
989,72,NA,50,NA,59,1,77,52,83,7,150
990,88,59,75,75,76,4.1,59,53,59,6,150
991,96,62,60,73,79,3.8,57,57,52,10,150
992,57,16,40,15,57,0.9,78,52,88,10,150
993,109,51,65,77,86,4.3,68,54,58,10,150
994,29,81,20,NA,13,0.5,18,24,20,13,150
995,49,24,45,21,42,1.1,82,54,76,10,150
996,35,75,15,73,21,0.5,21,18,25,8,150
997,48,12,850,47,62,1,59,81,72,7,150
998,33,63,35,53,59,3.5,46,26,84,13,150
999,79,18,20,12,54,2,77,45,45,14,150
1000,76,28,20,10,59,2,83,51,50,12,150
